AWLEVEL,Award Level
2,Certificates of at least 1 but less than 2 years
3,Associate's degree
4,Certificates of at least 2 but less than 4 years
5,Bachelor's degree
6,Postbaccalaureate certificate
7,Master's degree
8,Post-master's certificate
9,Doctor's degree
10,Postbaccalaureate or Post-master's certificate
11,Certificate of less than 12 weeks
12,Certificate of at least 12 weeks but less than 1 year
17,Doctor's degree - research/scholarship
18,Doctor's degree - professional practice
19,Doctor's degree - other
20,Certificates of less than 12 weeks
21,Certificates of at least 12 weeks but less than 1 year
